Semivariogram           tail:Primary      head:Primary       direction  1 
   1         .000       .00000      940      436.45787      436.45787
   2        2.107  11298.08012       22      710.56818      710.56818
   3        4.792  36573.11421      312      643.66442      643.66442
   4       10.269  46825.85316      798      594.59850      594.59850
   5       14.519  60505.36077      152      549.90394      549.90394
   6       20.124  54255.60461      872      467.60722      467.60722
   7       24.423  76417.60101      112      576.74821      576.74821
   8       30.046  69244.99982      524      570.64065      570.64065
   9       34.655  92466.47842       82      546.68171      546.68171
  10       39.943  68006.95548      732      451.80287      451.80287
  11       44.644  63114.96468       98      541.13469      541.13469
  12       50.124  85779.22942      516      533.89186      533.89186
  13       55.728  78415.73572       96      510.72500      510.72500
  14       60.194  80541.60011      692      441.75361      441.75361
  15       64.862 167418.66892       98      549.25306      549.25306
  16       70.104 102196.64476      490      519.83184      519.83184
  17       75.294 105236.91939      100      518.64100      518.64100
  18       80.063  80456.23327      624      445.07244      445.07244
  19       84.587  92819.21176       72      433.43611      433.43611
  20       90.022 106172.60582      428      529.91051      529.91051
  21       96.403 114083.05019       38      509.19473      509.19473
  22       99.983  83540.94173      562      436.67367      436.67367
