Semivariogram           tail:Primary      head:Primary       direction  1 
   1         .000       .00000      470      436.45787      436.45787
   2        3.861  33872.78966       22      661.23637      642.97727
   3        9.797  64781.69245      168      581.68452      557.19107
   4       20.535 104284.98196      167      468.81916      468.26886
   5       30.029  96593.16827      324      486.39259      437.30062
   6       40.163 102445.63663      249      435.89438      424.84658
   7       50.542 109966.90062      337      409.97300      399.35846
   8       60.512  82260.70261      410      417.62732      394.69000
   9       70.215  86001.70075      392      456.38928      407.57857
  10       80.246  80505.24043      493      434.57931      344.84848
  11       90.189  92915.93502      457      494.52779      345.99650
  12      100.497  87673.71395      562      521.02616      326.35730
Semivariogram           tail:Primary      head:Primary       direction  2 
   1         .000       .00000      470      436.45787      436.45787
   2        3.814  33305.54347       68      689.13676      713.75294
   3       10.212  61309.64657      366      582.34399      563.61967
   4       20.092  84959.80028      722      499.35762      471.42202
   5       29.971 102831.53537      634      506.56782      456.80962
   6       40.187  97905.71990      808      412.38639      395.68502
   7       49.808 109138.95972      694      416.96037      404.06326
   8       60.069  83366.99328      895      405.34715      383.88492
   9       70.102  87512.27332      785      451.90127      410.61223
  10       80.085  80959.72309      872      429.14495      350.14495
  11       89.899  91559.71189      795      469.44314      339.18880
  12      100.195  87788.78345      716      502.96215      319.79791
Semivariogram           tail:Primary      head:Primary       direction  3 
   1         .000       .00000      470      436.45787      436.45787
   2        3.907  33982.15311       81      661.26049      700.12592
   3       10.368  63675.36613      552      599.61667      569.19565
   4       19.779  85894.12071      883      508.72605      475.61778
   5       30.114 103430.40127      944      491.92754      449.07796
   6       40.248  98324.81421     1099      422.43976      408.96979
   7       49.761 107862.05051     1081      422.27660      409.92128
   8       59.953  84884.53187      977      406.97298      388.36315
   9       70.023  87787.68936      801      453.09001      409.09288
  10       80.085  80959.72309      872      429.14495      350.14495
  11       89.899  91559.71189      795      469.44314      339.18880
  12      100.195  87788.78345      716      502.96215      319.79791
Semivariogram           tail:Primary      head:Primary       direction  4 
   1         .000       .00000      470      436.45787      436.45787
   2        3.845  33863.66315       91      659.72527      695.57143
   3       10.622  62339.81931      699      586.99685      552.37654
   4       20.041  87049.77477     1082      520.43364      486.00314
   5       29.743  97717.59881     1394      487.96413      449.48472
   6       40.107 100409.96237     1367      435.44733      414.42904
   7       49.740 108207.19387     1087      422.68022      409.40442
   8       59.953  84884.53187      977      406.97298      388.36315
   9       70.023  87787.68936      801      453.09001      409.09288
  10       80.085  80959.72309      872      429.14495      350.14495
  11       89.899  91559.71189      795      469.44314      339.18880
  12      100.195  87788.78345      716      502.96215      319.79791
Semivariogram           tail:Primary      head:Primary       direction  5 
   1         .000       .00000      470      436.45787      436.45787
   2         .000       .00000        0         .00000         .00000
   3       10.685  43651.15234      176      599.63636      588.36932
   4       20.984  55168.19645      280      560.18500      569.31928
   5       31.068  73379.68423      363      543.80220      557.25730
   6       41.263  84771.74484      445      541.58405      541.90135
   7       51.339  81838.96991      554      521.04188      540.45921
   8       61.470  88507.60805      719      502.33199      513.76759
   9       70.892  93487.30415      782      535.65933      541.95013
  10       80.892  86340.00264      850      503.28341      517.27118
  11       90.573  87586.39821      765      523.96131      528.10994
  12      100.544  91613.66604      812      500.97044      516.31909
Semivariogram           tail:Primary      head:Primary       direction  6 
   1         .000       .00000      470      436.45787      436.45787
   2        3.606   2956.80218        1      737.09998      660.20001
   3       10.865  47375.51027      370      583.80567      583.03649
   4       20.963  57794.34967      679      513.20236      517.27143
   5       31.065  72881.86595      682      557.01569      565.57023
   6       40.819  75551.60487      964      489.03786      496.47873
   7       50.267  83436.12950     1071      509.25173      530.52838
   8       60.448  86841.81436     1483      488.39076      498.89831
   9       70.349  92525.15607     1466      515.26494      540.73069
  10       80.382  84310.18714     1490      493.04060      506.24819
  11       90.254  87727.74999     1239      508.91751      518.13124
  12      100.381  90263.56419     1128      499.42979      511.15762
Semivariogram           tail:Primary      head:Primary       direction  7 
   1         .000       .00000      470      436.45787      436.45787
   2        3.606   2956.80218        1      737.09998      660.20001
   3       11.148  46523.48790      552      583.03424      585.37083
   4       20.895  62112.90863      919      532.62405      529.78498
   5       30.437  73963.57173     1053      541.93856      551.69668
   6       40.529  80174.09805     1403      503.69259      506.43286
   7       50.320  84684.50848     1502      504.66092      522.83835
   8       60.459  87545.35954     1656      487.06032      503.00610
   9       70.343  92527.34559     1469      515.13281      540.00429
  10       80.382  84310.18714     1490      493.04060      506.24819
  11       90.254  87727.74999     1239      508.91751      518.13124
  12      100.381  90263.56419     1128      499.42979      511.15762
Semivariogram           tail:Primary      head:Primary       direction  8 
   1         .000       .00000      470      436.45787      436.45787
   2        3.856  25105.81719        7      741.02857      734.70001
   3       11.420  48367.68329      730      584.05356      585.04562
   4       20.664  63234.37870     1160      534.35896      537.98164
   5       30.548  78184.47816     1527      522.59371      533.71166
   6       40.612  81779.87224     1640      502.18811      507.44646
   7       50.294  84943.77197     1510      504.50404      523.50993
   8       60.459  87545.35954     1656      487.06032      503.00610
   9       70.343  92527.34559     1469      515.13281      540.00429
  10       80.382  84310.18714     1490      493.04060      506.24819
  11       90.254  87727.74999     1239      508.91751      518.13124
  12      100.381  90263.56419     1128      499.42979      511.15762
