x(m)	Z
0	17.7
2	17.8
4	9.5
6	5.2
8	4.1
10	19.2
12	12.4
14	15.8
16	20.8
18	24.1
20	14.7
22	21.6
24	12.8
26	11.9
28	35.4
30	12.3
32	14.9
34	19.6
36	10.6
38	15.1
40	15.6
42	9.3
44	8.1
46	13.5
48	30.2
50	29.1
52	7.4
54	12.3
56	13.6
58	9.5
60	13.1
62	27.4
64	8.8
66	11.4
68	6.4
70	11
72	11.4
74	14.1
76	20.9
78	10.6
80	15.3
82	24
84	12.3
86	7.8
88	9.9
90	20.7
92	25
94	19.1
96	13.1
98	27.4
100	15.2
102	12.2
104	10.1
106	12.3
108	16.7
110	18.6
112	6
114	10.6
116	11.3
118	4.7
120	10.9
122	6
124	7.2
126	5.6
128	8.9
130	5.8
132	8.9
134	6.7
136	7.2
138	9.7
140	10.8
142	17.9
144	10.9
146	13.7
148	22.3
150	10.2
152	5.1
154	13.9
156	9
158	10.6
160	13.8
162	6.5
164	6.5
166	10.6
168	10.6
170	23
172	21.8
174	32.8
176	30.2
178	30.8
180	33.7
182	26.5
184	39.3
186	24.5
188	24.9
190	23.2
192	16
194	20.9
196	10.3
198	22.6
200	16.2
202	22.9
204	36.9
206	23.5
208	18.5
210	16.4
212	17.9
214	18.5
216	13.6
218	7.9
220	31.9
222	14.1
224	7.1
226	3.9
228	3.7
230	22.5
232	27.6
234	17.3
